,Province,2016,2017,2018,2019,2020,2021
0,ACEH,4,9,15,11,15,5
1,BABEL,4,7,5,6,9,1
2,BALI,11,31,20,29,9,4
3,BANTEN,25,55,87,77,43,4
4,BENGKULU,0,2,5,3,4,0
5,DIY,15,48,46,43,19,1
6,DKI JAKARTA,99,237,313,268,195,49
7,GORONTALO,0,0,6,4,1,0
8,JABAR,165,347,479,599,266,49
9,JAMBI,3,10,3,5,8,1
10,JATENG,102,329,311,264,182,35
11,JATIM,103,290,317,257,127,33
12,KALBAR,8,15,14,22,24,8
13,KALSEL,10,39,31,28,14,2
14,KALTARA,7,20,6,5,1,0
15,KALTENG,6,14,17,16,4,0
16,KALTIM,6,20,17,43,13,4
17,KEPRI,7,36,15,7,5,1
18,LAMPUNG,10,46,33,12,15,3
19,MALUKU,2,24,11,9,0,0
20,MALUT,7,8,14,20,6,0
21,NTB,6,14,10,5,14,0
22,NTT,3,20,18,8,9,1
23,PAPUA,28,111,107,67,33,12
24,PAPUA BARAT,7,14,11,8,9,0
25,RIAU,11,48,62,12,7,2
26,SULBAR,3,7,19,7,2,0
27,SULSEL,27,111,79,134,36,7
28,SULTENG,4,10,19,10,5,1
29,SULTRA,4,8,4,4,2,0
30,SULUT,4,17,14,10,6,1
31,SUMBAR,18,38,25,24,2,1
32,SUMSEL,17,40,15,20,32,6
33,SUMUT,24,106,70,82,71,5
