year,age_group,total
2021,0-4,22680
2021,5-9,24199
2021,10-14,23902
2021,15-19,22485
2021,20-24,22144
2021,25-29,21555
2021,30-34,20949
2021,35-39,21098
2021,40-44,20080
2021,45-49,18324
2021,50-54,16405
2021,55-59,13738
2021,60-64,10692
2021,65-69,7517
2021,70-74,4878
2021,75-79,3328
2021,80-84,1874
2021,85-89,721
2021,90-94,168
2021,95-99,20
2021,100+,1
2022,0-4,22488
2022,5-9,23834
2022,10-14,24150
2022,15-19,22776
2022,20-24,22041
2022,25-29,21750
2022,30-34,21010
2022,35-39,20978
2022,40-44,20335
2022,45-49,18557
2022,50-54,16681
2022,55-59,14121
2022,60-64,11081
2022,65-69,7868
2022,70-74,5008
2022,75-79,3334
2022,80-84,1884
2022,85-89,740
2022,90-94,172
2022,95-99,21
2022,100+,1
2023,0-4,22349
2023,5-9,23439
2023,10-14,24326
2023,15-19,23077
2023,20-24,21949
2023,25-29,21936
2023,30-34,21044
2023,35-39,20863
2023,40-44,20572
2023,45-49,18811
2023,50-54,16977
2023,55-59,14524
2023,60-64,11502
2023,65-69,8273
2023,70-74,5245
2023,75-79,3387
2023,80-84,1927
2023,85-89,778
2023,90-94,185
2023,95-99,23
2023,100+,1
